记录键,原始键,生成时间,标题,来源文件,最近推送时间,反馈状态
push:a84248a6d5bea62d,00_收件箱/2026-06-11 小红书 - OpenAI团队成员分享的Codex神级Prompt.md,2026-06-23 20:33:44 +0800,OpenAI团队成员分享的Codex神级Prompt,00_收件箱/2026-06-11 小红书 - OpenAI团队成员分享的Codex神级Prompt.md,2026-06-23T07:13:50+08:00,待反馈
push:60fa0f0b28f91ec3,00_收件箱/2026-06-11 小红书 - 如何打造高级感视觉？这份提示词建议收藏.md,2026-06-23 20:33:44 +0800,如何打造高级感视觉？这份提示词建议收藏,00_收件箱/2026-06-11 小红书 - 如何打造高级感视觉？这份提示词建议收藏.md,2026-06-23T07:13:50+08:00,待反馈
push:071d19d42eca52cf,00_收件箱/2026-06-12 抖音 - 真正的一把手，是管理经营领袖三位一体#团队管理#管理者干货#人才管理#管理决策.md,2026-06-23 20:33:44 +0800,真正的一把手，是管理经营领袖三位一体#团队管理#管理者干货#人才管理#管理决策,00_收件箱/2026-06-12 抖音 - 真正的一把手，是管理经营领袖三位一体#团队管理#管理者干货#人才管理#管理决策.md,2026-06-23T07:13:50+08:00,待反馈
push:8b4ec48ef8011298,00_收件箱/2026-06-12 抖音 - 黄仁勋给年轻人的建议：要学习如何用AI #dou上热门 #英语口语 #英语演讲 #英语 #黄仁勋.md,2026-06-23 20:33:44 +0800,黄仁勋给年轻人的建议：要学习如何用AI #dou上热门 #英语口语 #英语演讲 #英语 #黄仁勋,00_收件箱/2026-06-12 抖音 - 黄仁勋给年轻人的建议：要学习如何用AI #dou上热门 #英语口语 #英语演讲 #英语 #黄仁勋.md,2026-06-23T07:13:50+08:00,待反馈
push:44396b25b98613e9,"00_收件箱/2026-06-23 前沿情报 - AI Security After Codex and Claude Code — Zico Kolter & Matt Fredrikson, Gray Sw.md",2026-06-23 20:33:44 +0800,"AI Security After Codex and Claude Code — Zico Kolter & Matt Fredrikson, Gray Swan","00_收件箱/2026-06-23 前沿情报 - AI Security After Codex and Claude Code — Zico Kolter & Matt Fredrikson, Gray Sw.md",2026-06-23T07:13:50+08:00,待反馈
push:4b6671a6f13d1215,00_收件箱/2026-06-23 前沿情报 - How to stay technical as a software engineering manager.md,2026-06-23 20:33:44 +0800,How to stay technical as a software engineering manager,00_收件箱/2026-06-23 前沿情报 - How to stay technical as a software engineering manager.md,2026-06-23T07:13:50+08:00,待反馈
push:dd4284c6f41fd857,00_收件箱/2026-06-23 前沿情报 - Jake Paul on Going From YouTube to Boxing to Investing a16z ft. Anti Fund.md,2026-06-23 20:33:44 +0800,Jake Paul on Going From YouTube to Boxing to Investing | a16z ft. Anti Fund,00_收件箱/2026-06-23 前沿情报 - Jake Paul on Going From YouTube to Boxing to Investing a16z ft. Anti Fund.md,2026-06-23T07:13:50+08:00,待反馈
push:91eb97f570893751,00_收件箱/2026-06-11 抖音 - 读懂管理底层逻辑，轻松激活团队.md,2026-06-23 20:33:44 +0800,读懂管理底层逻辑，轻松激活团队,00_收件箱/2026-06-11 抖音 - 读懂管理底层逻辑，轻松激活团队.md,2026-06-23T07:00:45+08:00,待反馈
