记录键,生成时间,自动化,状态,计划状态,暂停原因,频率,原始频率,模型,推理强度,执行环境,配置路径,错误
automation:收件箱待分拣巡检,2026-06-15 22:48:50 +0800,收件箱待分拣巡检,PAUSED,按计划暂停,已并入 my-mind 后台总控日更,每 6 小时,FREQ=HOURLY;INTERVAL=6,gpt-5.4,xhigh,local,/Users/linsuchang/.codex/automations/automation/automation.toml,
automation:my-mind 后台总控日更,2026-06-15 22:48:50 +0800,my-mind 后台总控日更,ACTIVE,启用,,每天 07:10,FREQ=DAILY;BYHOUR=7;BYMINUTE=10;BYSECOND=0,gpt-5.4,high,local,/Users/linsuchang/.codex/automations/automation-2/automation.toml,
automation:前沿情报每日入箱,2026-06-15 22:48:50 +0800,前沿情报每日入箱,PAUSED,按计划暂停,已并入 my-mind 后台总控日更,每天 06:20,FREQ=DAILY;BYHOUR=6;BYMINUTE=20;BYSECOND=0,gpt-5.4,high,local,/Users/linsuchang/.codex/automations/automation-3/automation.toml,
automation:项目组合每日巡检,2026-06-15 22:48:50 +0800,项目组合每日巡检,ACTIVE,启用,,每天 20:30,FREQ=DAILY;BYHOUR=20;BYMINUTE=30;BYSECOND=0,gpt-5.4,high,local,/Users/linsuchang/.codex/automations/automation-4/automation.toml,
automation:前台反馈与待确认消费,2026-06-15 22:48:50 +0800,前台反馈与待确认消费,PAUSED,按计划暂停,已并入 my-mind 后台总控日更,每 6 小时,FREQ=HOURLY;INTERVAL=6,gpt-5.4,high,local,/Users/linsuchang/.codex/automations/automation-5/automation.toml,
automation:飞书仪表盘每日同步,2026-06-15 22:48:50 +0800,飞书仪表盘每日同步,PAUSED,按计划暂停,已并入 my-mind 后台总控日更,每天 07:00,"FREQ=DAILY;BYHOUR=7,14,21;BYMINUTE=0;BYSECOND=0",gpt-5.4,medium,local,/Users/linsuchang/.codex/automations/automation-6/automation.toml,
